A
A.B. =(=able body) | potocznie starszy marynarz
solid oil | ogólnie smar sta³y
solid phase | faza sta³a
solid rock | ska³a zwiêz³a
solids content in mud | zawartoœæ fazy sta³ej w p³uczce 
soluble (‘soljubel) | rozpuszczalny


solute | substancja rozpuszczona 
solution gas | gaz rozpuszczony w wodzie 
solution (so’luszn) | roztwór, /rozwi¹zanie/, /rozpuszczanie/ 
solvent | rozpuszczalnik
sonie log | profilowanie akustyczne otworów wiertniczych
sort (sot) | rodzaj , gatunek, marka, typ
sound level | poziom ha³asu, poziom dŸwiêku (g³oœnoœci)
sounder | echosonda
sound-proofed | dŸwiêkoszcze³ny
sour (saue) | kwaœny, zawieraj¹cy siarkowodór
source (sos) | Ÿród³o, /wejœcie, pocz¹tek sicci/
source rock | ska³a macierzysta
sour corrosion (saue ke’rouzn) | korozja siarkowodorowa 
sour crude (saue krud) | ropa zasiarczona
sour gas (saue gez)=(=acid gas) | gaz kwaœny, gaz zasiarczony (z H2S)
souring | rozk³ad chemiczny p³uczki, psucie siê p³uczki
south (saut) | po³udnie (kierunek)
southeast | po³udnio-wschód
souther | silny wiatr po³udniowy
southwest | po³udnio-zachód
space (spejs) | rozstaw, przeœwit, obszar, /rozmieszczaæ/ 
spacer (‘spejse) | element dystansowy, przek³adka, rozporka 
spacer fluid (‘spejse fluid) | p³yn wyprzedzaj¹cy zaczyn cementowy 
spade (spejd) | ³opata, szpadel
spanner (‘spaner) | klucz monterski (p³aski, oczkowy itd.)
spare parts=(=spares) | czêœci zapasowe, czêœci zamienne
spark arrester | chwytacz iskier (odiskiernik)
spark ignition | zap³on iskrowy
sparking | iskrzenie
sparkless | nieiskrz¹cy, beziskrowy
spear | rak ratunkowy 	casing spear | rak do rur
specialist | specj alista, fachowiec
specific gravity=(=s.g., sg.)) (spesyfyk grewyti) | ciê¿ar w³aœciwy
specification | wyszczególnienie, specyfikacja, wykaz
spectacles=(=specs) | okulary
speed (spid) | szybkoœæ, prêdkoœæ
speed box | skrzynia biegów
speed range | zakres prêdkoœci
speed up (spid ap) | przyspieszaæ
spent (spent) | zu¿yty, wyczerpany
spent acid | kwas przereagowany
spent oil | olej przepracowany
sphere | ku³a, sfera, powierzchnia ku³i
spherical bearing | ³o¿ysko kuliste
spider(‘spajde) | spajder (elewator klinowy do rur), uchwyt linowy, /paj¹k/ 
spider deck | poziom ni¿szy w slocie platformy wiertniczej (poni¿ej wie¿y), 
pok³ad do magazynowania prewenterów zapasowych na platformie 
spike | marspikel, szpikulec, ostrze, kolec


spili | rozlewaæ siê, przelewaæ, zanieczyszczenie morza 
spindle | wrzeciono, trzon obrotowy
spinning | wstêpne skrêcanie rur lin¹ i bêbenkiem pomocniczym, /wirowanie/
spinning chain (‘spining czejn) | ³añcuszek do krêcenia przewodu wiertniczego
spinnig wrench | klucz do krêcenia przewodu
spiral drill collar (‘spajral dryl ‘kole) | obci¹¿nik spiralny
spiral grapple (‘spajrel ‘grapl) | chwytacz spiralny sprê¿ynowy overshota
spiral grapple control | pierœcieñ oporowy chwytacza spiralnego overshota
spirit level | poziomica
splash | pryskaæ, bryzgaæ, rozbryzgiwaæ siê
splash box=(=splash arrester) | fartuch przeciwrozbryzgowy (p³uczki)
splice (splajs) | splot liny, splataæ
splicing (‘splajsing) | splatanie liny, miejsce splotu
spm (es pi cm)=(=strokc per minute)(‘strouk pc ‘mynyt) | skoki pompy na minutê
spm gauge | zegar skoków pompy p³uczkowej
spoil (spojl) | psuæ siê, /zepsuæ/, /wywoziæ na ha³dê/, /odpady/
spool | szpulka, kryza podwójna, nawijaæ na szpulkê, /korpus cewki elektrycznej/
spot welding | zgrzewanie punktowe
spouting | potocznie wanna olejowa, „huœtawka” w otworze (ró¿ne p³yny w otworze)
spray arrester | fartuch przeciwrozbryzgowy na rury p³uczkowe
spray gun (sprej gan) | pistolet natryskowy
spray painting | malowanie natryskowe
spreader | rozpórka, /orczyk/
spreader beam | zawiesie belkowe (np. do podnoszenia kontenerów, d³u¿ycy itp.)
spring hook | karabiñczyk, zatrzask
spring | sprê¿yna, resor, uginaæ, /Ÿród³o/, /wiosna/
spring washer | podk³adka sprê¿ysta
sprinkle | skrapiaæ, zraszaæ, /lekki przelotny deszcz/
sprinkler=(=sprinkle system) | instalacja tryskaczowa przeciwpo¿arowa, zraszanie
sprocket (‘sproket) | ko³o zêbate ³añcuchowe
sprocket gear | przek³adnia ³añcuchowa
spud date | data rozpoczêcia wiercenia
spud mud | p³uczka do rozpoczynania wiercenia
spud in the well (spad yn de ³el) | rozpoczêcie wiercenia (pierwszych metrów) 
sq.in.=(=square inch) | cal kwadratowy 
squad | brygada robotników 
squall | szkwa³
square | kwadrat, /kwadratowy/, /plac, skwer/ 
squash | zgniataæ, mia¿d¿yæ
squeeze | zat³aczaæ otwór przy zamkniêtym prewenterze, /zgniataæ, œciskaæ/ 
squeeze cementation=(=squeezing) | cementowanie na ch³onnoœæ 
squeeze out | wyciskaæ
s tab  | wpro wadzaæ ,w k³adaæ c oœ do cze goœ (np . c zop do mufy) 
stabber | urz¹dzenie wprowadzaj ¹ce
stabbing board (‘stabing bord) | mostek pomocniczy do rurowania 
stability | statecznoœæ, sta³oœæ, stabilnoœæ
stabilizer (stebi’lajze) | urz¹dzenie stabilizuj¹ce, /œrodek stabilizuj¹cy/, /statecznik/ 
stabilizer (stebi’lajze) | /stabilizator (przewodu wiertniczego)/


adjustable stabilizer | stabilizator ze zmienn¹ (zdalnie) œrednic¹ tu 1 ej i (3x) 
integral blade stabilizer | stabilizator z ostrzami sta³ymi (zintegrowany) 
near bit stabilizer | stabilizator nadœwidrowy z po³¹czeniami m x m 
non-magnctic stabilizer | stabilizator z materia³u niemagnetycznego 
rubber stabilizer | stabilizator z tulej¹ gumow¹ nieobrotow¹ 
sleeve stabilizer | stabilizator ze zmienn¹ tulej¹
        spiral blade stabilizer | stabilizator z ostrzami (p³etwami) spiralnymi 
string stabilizer | stabilizator z po³¹czeniami cz x m (miêdzy kawa³kami) 
welded blade stabilizer | stabilizator z ostrzami napawanymi 
stack | komin stalowy 
stack | stos (np. prewenterów), /komplet rur ustawionych na klocu w wie¿y/, /sterta/ 
stacking capacity of derrick | pojemnoœæ magazynowa przewodu w wie¿y 
stack-out | d³u¿szy przestój urz¹dzenia wiertniczego (zostawienie urz¹dzenia na magazynie) 
Staff (staf) | personel, kadry, /³ata miernicza/, /sztab wojskowy/ 
stage cementing=(=stage cementation) | cementowanie stopniowe 
stage collar | mufa do cementowania stopniowego 
stainless steel (‘stejnles stil) | stal nierdzewna 
stain of oil | plama oleju lub ropy 
stairs (stez) | schody
stand (stend) | pas przewodu lub obci¹¿ników, /stojak, statyw/ 
standard worktime | norma czasu pracy
stand board (stend bord) | kloc na pasy przewodu lub obci¹¿ników
stand by (sten baj) | /przestój awaryjny, przestój nieprodukcyjny/
standby=(=stand by) | pogotowie, stan pogotowia, przestój w oczekiwaniu
standby pump (‘stenbajpamp) | pompa rezerwowa
standpipe (‘stendpajp) | stojak p³uczkowy (do "gêsiej szyji"), /hydrant/
standpipe manifold (‘stendpajp ‘manifold) | manifold p³uczkowy w szybie
standpipe outlet=(=goose neck) | tzw. „gêsia szyja”
standstill | bezruch
stapler | zszywacz biurowy
starboard | prawo (na statku)
starboard side | prawa burta (na statku)
star-delta connection | uk³ad elektryczny „gwiazda-trójk¹t”
start circulation (stat sekju’lejszn) | zacz¹æ cyrkulacjê, pocz¹tek cyrkulacji
start (stat) | pocz¹tek, rozruch, uruchomienie, start
starter-rozrusznik
State of stress | stan naprê¿enia
state of the sea | stan morza
statement | stwierdzenie, oœwiadczenie, /zestawienie, wykaz/, /instrukcja/ 
statement of expenses | zestawienie kosztów 
static friction | tarcie statyczne (spoczynkowe) 
static pressure | ciœnienie statyczne
stationary | nieruchomy, nieprzenoœny, niezmienny, ustalony
station bill (‘stejszn byl) | rozk³ad alarmowy
stations bill | rozk³ad alarmowy (na statku, platformie itp.)
stator | stojan silnika elektrycznego, twornik, /kierownica turbiny/
statute mile=(=mile) | mila (l¹dowa)= 1609,3 m
steady load (‘stedi loud)  | obci¹¿enie sta³e


steady=(=uniform, unvarying, unchanging) | ustalony, niezmienny 
steady | /podtrzymywaæ/ 
steam (stim) | para wodna 
steam boiler | kocio³ parowy
steam cleaner | agregat (urz¹dzenie) do czyszczenia par¹ wodn¹ 
steel plate | blacha stalowa gruba, p³yta stalowa 
steel rings (stil ringz) | pierœcienie metalowe 
steel sheet | blacha stalowa cienka
steel-tooth bit | œwider gryzowy z zêbami frezowanymi 
steelwork | konstrukcja stalowa
steerable drilling | wiercenie kierunkowe, sterowane (z MWD) 
steering (‘stiring) | kierowanie, sterowanie
step by step procedure (step baj step prc’sidzc) | postêpowanie krok po kroku
step (step) | stopieñ (np. schodów), uskok geologiczny
step down | zmniej szaæ stopniowo, obni¿aæ (np. ciœnienie)
stepless | bezstopniowy, bezstopniowa (np. przek³adnia cierna)
step up (step ap) | zwiêkszaæ stopniowo, podwy¿szaæ
stepwise | stopniowo
stern (sten) | rufa
stickiness | lepkoœæ
sticking | przylepianie siê, przyklejenie przewodu lub rur w otworze wiertniczym 
stiff (styf) | sztywny
stimulation (stymju’lejszn) | intensyfikacja, pobudzanie
stinger | "¿¹d³o" do cementowania rur o du¿ej œrednicy (wciskane w but rur)
stinkdamp | powietrze zawieraj¹ce siarkowodór (cuchn¹ce)
stinkstone | wapieñ cuchn¹cy
stock level | stan zapasów
stock on hand | stan zapasów w magazynie
stock | zapas materia³ów, inwentarz, kapita³ zak³adowy, /podstawa, oprawa narzêdzia/ 
stock-taking | inwentaryzacja, remanent, przegl¹d stanu prac 
stone debris | gruz skalny 
stone (stoun) | kamieñ
stop collar | pierœcieñ oporowy centralizatorów rur ok³adzinowych
stop ring=(=stop collar) | pierœcieñ oporowy
stopwatch (‘ stop³ocz) | stoper
storage cell | komora magazynowa
storage tanker | tankowiec-magazyn
store=(=storehouse, store-room) | magazyn, sk³ad, /sklep/, /zapas/
storekeeper (‘storkipe)=(=storeman) | magazynier
storm (stom) | sztorm, gwa³towna wichura (11° w skali Beauforta)
storm condition | warunki sztormowe
storm draught | zanurzenie sztormowe
stow (stou) | rozmieszczaæ ³adunek, sztauowaæ, /podsadzka górnicza/ 
straight hole (strej t houl) | prosty otwór (pionowy) 
straighten | prostowaæ
straightener | maszyna do prostowania rur p³uczkowych, /element prostuj¹cy/ 
strainer | rura filtracyjna, filtr siatkowy, sito metalowe (np. w pompie p³uczkowej) 
strainer of a pump | kosz ssawny pompy, filtr t³oczny pompy (na wyj œciu)


strand | splotka liny, ¿y³a kabla, ciêgno, /pla¿a/ 
strap brake | hamulec taœmowy
strapping | pomiar d³ugoœci pasów przewodu wiertniczego na klocu (np. przy wyci¹ganiu) 
stratifed rock | ska³a osadowa uwarstwiona 
stratification | uwarstwienie pok³adów geologicznych
stratification | uwarstwienie, /warstwowanie skal osadowych, u³o¿enie warstw/ 
stratum | pok³ad geologiczny
streak | pok³ad geologiczny cienki, wk³adka w pok³adzie geologicznym 
streaks of sand | wk³adki piasku 
stream (strini) | strumieñ, struga
strength | wytrzyma³oœæ, /moc/, /si³a/, /stê¿enie roztworu/
strengthen | wzmacniaæ
stress | naprê¿enie, naprê¿aæ, /stres/
stress pattern | rozk³ad naprê¿eñ
stretch (strecz) | rozci¹ganie, wyprê¿enie, rozci¹gaæ, /rozci¹g³oœæ/
stretch | wyd³u¿enie przewodu wiert., syfonówek lub rur pod wp³ywem ciê¿aru i temp. 
strike | uderzaæ, /rozci¹g³oœæ pok³adu geologicznego/, /strajk, strajkowaæ/ 
string stabilizer | stabilizator przewodu wiertniczego (miêdzy obci¹¿nikami | cz x m) 
string | sznurek, struna (np. olinowania), potocznie przewód wierl., syfonówki itd. 
string up (string ap) | olinowanie
string-shot back-off | uwolniæ przewód przez odpalenie ³adunku 
stripped | zerwany (w ogniwie), zdemontowany 
stripped thread | gwint zerwany 
stripper | wycieraczka na przewód wiertniczy
stripper type prewenter | prewenter ze szczêkami obrotowymi na graniatkê 
stripper well | otwór naftowy o ma³ej wydajnoœci
stripping-in | zapuszczanie przewodu do otworu przy zamkniêtym prewenterze
stripping-out | wyci¹ganie przewodu z otworu przy zamkniêtym prewenterze
stroke | uderzenie, udar, /skok t³oka, suw (np. pompy p³uczkowej)/
stroke counter (strouk ‘kaunte) | licznik skoków (suwów) (np. pompy p³uczkowej)
stub pipe=(=stub tube) | króciec rurowy
stuck pipes | przychwycenie rur/ przewodu w otworze
stuck point | punkt (g³êbokoœæ) przychwycenia rur/ przewodu w otworze
stud bolt=(=stud) | œruba dwustronna (szpilki obustronnie nagwintowane)
study (stady) | badanie, studiowanie, /gabinet, pracownia/
stuff (staf) | materia³, tworzywo, rzeczy, /wypychaæ, faszerowaæ/
stuffing-box | d³awnica, komora d³awikowa
stump test HOl' | test wykonywany na stanowisku testowania prewenterów
stump | wystaj¹cy nad wiêŸbê kawa³ek rury ok³adzinowej (do instalacji uszczelnieñ)
sub=(=substitute) | ³¹cznik, element przewodu wiertniczego
bit sub | ³¹cznik nadœwidrowy z po³¹czeniem m x m
bumper sub | „m³ot” instrumentacyjny do zbijania w dó³
casing sub | ³¹cznik rur ok³adzinowych
circulating sub | ³¹cznik cyrkulacyjny
junk sub | zasypówka
kelly saver sub | ³¹cznik ochronny gwintu graniatki z po³¹czeniem cz x m 
lifting sub | manipulak do obci¹¿ników ³ub flaszka do podnoszenia elementów 
non-magnetie sub | ³¹cznik z materia³u niemagnetycznego


        orientation sub | krzywy ³¹cznik lub ³¹cznik regulacji k¹ta skrzywienia 
reduced section sub | ³¹cznik redukuj¹cy œrednice elementów zestawu 
rotary sub | ogólnie ³¹czniki do wierceñ obrotowych 
shock absorber sub | ³¹cznik absorbuj¹cy drgania nadœwidrowe 
subassembly | podzespó³ 
subbase (‘sabbejs) | podbudowa platformy 
subcontractor (sabken’trakte) | poddostawca, podwykonawca 
submarine (sabme’rin) | okrêt podwodny, podwodny 
submersible  | zanurza³ny, platforma zanurzalna 
submersion (sub’meszn) | zanurzenie
submit (sub’myt) | przed³o¿yæ (np. dokument, wyniki itp.) 
submit for approval | przed³o¿yæ do zatwierdzenia 
submit for comment | przedstawiæ do opinii 
subordinate | podw³adny, /podrzêdny/ 
subsea (sab’si) | podwodny
subsea production | eksploatacja z³ó¿ podmorskich 
subsea stack | zespó³ prewentera podwodnego
subsea template=(=template) (sabsi ‘templejt) | p³yta fundamentowa podwodna 
subsea wellhead | ujœcie otworu podwodnego 
subsidence damage | szkody górnicze
substitute | materia³ zastêpczy, namiastka, zastêpowaæ, podstawiaæ 
substrate | pod³o¿e
substructure (sab’strakcze) | podbudowa (np. wie¿y wiertniczej , wyci¹gu) 
subsurface | podpowierzchniowy 
suck (sak) | ssaæ, zasysaæ
sucker rod=(=polish rod) | ¿erdŸ pompowa „kiwona” 
suction line (‘sakszn ³ajn) | ruroci¹g ss¹cy
suction modu³ (‘sakszen ‘modjul) | modu³ ss¹cy pompy p³uczkowej 
suction tank | zbiornik p³uczki ssawny (ss¹cy | roboczy) 
suction valve (‘sakszn walw) | zawór ss¹cy 
sufficient | dostateczny, wystarczaj ¹cy 
suitable | odpowiedni, przydatny
sulphide stress corrosion | korozja naprê¿eniowa siarczkowa 
sulphur | siarka
sulphuric acid | kwas siarkowy 
sulphurous | siarkawy 
sump pump | pompa œciekowa 
sump tank | odstojnik, rezerwuar
super choke (‘sjupe czouk) | zwê¿ka manifoldu zdalnie sterowana
super choke control panel (‘sjupe czouk ken’troul ‘panel) | pulpit sterowania zwê¿k¹
supercharge | do³adowywaæ (np. akumulatory, azot w butlach, ciœnienie itp.)
supercharger (sjuper’czadze) | pompa do do³adowania pompy p³uczkowej p³uczk¹
superintendent (superintendent) | kierownik, szef
superior (su’pirie) | prze³o¿ony, zwierzchnik
superstructure | nadbudówka
supervision | nadzór, dozór, kierownictwo, kontrola, nadzór techniczny 
supervisor (sjupe’wajze) | nadzorca, kierownik 
supervisory personnel | personel kierowniczy


supply (se’plaj) | dostawa, poda¿, zaopatrzenie, zasilaæ, zaopatrywaæ, dostarczaæ
supply boat=(=supplier) | statek zaopatrzeniowy, tódŸ zaopatrzeniowa
supply main (se’plaj mein) | g³ówny przewód zasilaj¹cy
supply system (se’plaj system) | uk³ad (system) zasilania
support (sepot) | podpora
support vessel=(=supply vessel) | statek zaopatrzeniowy (pomocniczy) 
sure (szo) | pewny, niezawodny, pewnie 
surface grinding | szlifowanie p³aszczyzn 
surface (‘serfys) | powierzchnia, p³aszczyzna
surface pressure (‘serfys ‘presze) | ciœnienie powierzchniowe (na powierzchni) 
surfactant=(=surface-active agent) | œrodek powierzchniowo czynny 
surge | nag³y udar, gwa³towna fala 
surplus | nadwy¿ka, nadmiar, superata
survey (‘serwi) | badanie, pomiar, profilowanie otworu, /przegl¹d/ 
survival draught=(=survival draft) (se’wajwl draft) | zanurzenie awaryjne 
survival equipment (sewajwl i’kuypment) | sprzêt ratowniczy
survival kit | wyposa¿enie ratunkowe umo¿liwiaj¹ce prze¿ycie (w razie katastrofy)
survival suit=(=exposure suit) | kombinezon ratunkowy (morski)
survival training | szkolenie awaryjne
suspend | zawiesiæ (np. dzia³alnoœæ, zadanie itp.)
suspended solids=(=suspension) | zawiesina
suspending the well | czasowe przerwanie prac wiertniczych w otworze 
suspend operations | przerwaæ prace
suspension (sas’penszn) | podwieszenie, zawieszenie, /zawiesina/
swabbing (‘s³obing) | t³okowanie w otworze wiertniczym
swabbing effect | efekt t³okowy w otworze
swamp | b³oto, topiel, zalaæ wod¹ zatopiæ
sweet crude | ropa naftowa bezsiarkowa
sweet gas (s³it gez) | gaz ziemny bezsiarkowodorowy
swell | fala martwa, /narastaæ, wzrastaæ/, /puchn¹æ/
swelling (‘s³eling) | pêcznienie przewierconych interwa³ów w otworze, /obrzêk/ 
swirl (s³el) | wir, zawirowanie, wirowaæ 
switch (s³ycz) | prze³¹cznik, wy³¹cznik
switch off (s³ycz of) | wy³¹czyæ	—switch on (s³ycz on) | w³¹czyæ
swivel (s³iwl) | g³owica p³uczkowa, /krêtlik, po³¹czenie obrotowe/
swivel joint | po³¹czenie obrotowe, kolano obrotowe rurek cementacyjnych
symmetry axis | oœ symetrii
system of forces | uk³ad si³
system | system, uk³ad, instalacja
T
T/=(=to) (tu) | do
table | stó³, /tablica, tabela/—	rotary table | stó³ wiertniczy (obrotowy)
table lock (‘tejbl lok) | blokada obrotów sto³u wiertniczego
table opening | max. przelot sto³u wiertniczego (podawany w calach)
tachometr | tachometr, obrotomierz
tackle | olinowanie, /wielokr¹¿ek/, /przyrz¹d, przybory/
tackle a problem | zaj¹æ siê problemem
tack welding | heftowanie, spawanie krótkimi spoinami


lag (tag) | znakowaæ, etykietka doczcpna (tabliczka), /zaostrzyæ np. prêt/ 
tag bottom | dotkn¹æ spodu otworu wiertniczego (oznaczyæ spód otworu) 
tag line | lina (z hakiem) do podnoszenia 
tail (tejl) | czêœæ koñcowa, koniec, /ogon/
tail slurry | gêsty zaczyn cementowy t³oczony pod koniec cementowania
take (tejk) | braæ, wzi¹æ, zabieraæ, /robiæ (np. zdjêcie)/, /podejmowaæ (np. decyzjê)/
take apart (tejk e’pat) | rozbieraæ na czêœci
take back (tejk bek) | zwracaæ np. rzecz, /cofaæ (odwo³ywaæ) (np. decyzjê)/ 
take down | notowaæ, zapisywaæ 
take in | przyjmowaæ do wiadomoœci 
take in tow | wzi¹æ na hol
take off | zdejmowaæ, /startowaæ (np, samolot)/, /usuwaæ/
take on | przyjmowaæ (np. do pracy)
take out | wyj mowaæ, usuwaæ
take over the duties | przej¹æ obowi¹zki
take precautions | przedsiêwzi¹æ œrodki ostro¿noœci
take to pieces | rozebraæ na czêœci
take up | podnosiæ, /wch³aniaæ/, /rozpuszczaæ/
talk-baek system | telefon komunikacji wewnêtrznej
tally (‘teli) | pomiar d³ugoœci rur (przewodu wiertniczego, syfonówek, rur ok³adzinowych)
tally (‘teli) | tabliczka znamionowa maszyny, /liczenie ³adunku (np. rur, przewodu itp.)/
tally book (‘teli buk) | notes (notatnik) roboczy
tally list (‘teli lyst) | wykaz (rejestr) rur, syfonówek, przewodu itp.
tank (tenk) | zbiornik, cysterna, /czo³g/
tanker=(=tank vessel) | tankowiec, zbiornikowiec
tank truck=(=tank trailer) | samoehód-cysterna
tank volume (tenk ‘woljum) | pojemnoœæ zbiornika (np. p³uczkowego) 
tap (tap)-gwintownik, gwintowaæ, /czerpaæ/, /zawór, kurek/, /zaczep/ 
tape (tejp) | taœma, owijaæ taœm¹ 
tapered | sto¿kowy
taper mill | frezer sto¿kowy, /gwintownik wstêpny nr 1 / 
taper thread | gwint sto¿kowy 
tar (ta) | smo³a, smo³owaæ
target | zadanie (planowe), cel wiercenia kierunkowego, spód wiercenia kierunkowego
target area | cel wiercenia kierunkowego (dopuszczalna strefa trafienia w punkt)
target depth=(=final depth) | za³o¿ona g³êbokoœæ koñcowa wiercenia (docelowa)
tarpaulin (‘ tapolyn) | plandeka
tar shale=(=bituminous shale) | ³upek bitumiczny
task (task) | zadanie (np. produkcyjne), praca do wykonania
taut-.napiêty, naprê¿ony
tax (teks) | podatek
T-bar=(=T-bend) | teownik, belka teowa 
t-bend=(=tee) | trójnik, /z³¹cze teowe, teownik/
TBG=(=tubing) (tjubing) | rurki wydobywcze (syfonówki)
TD (ti di) =(=T.D., total depth) (toutl dept.) | koñcowa g³êbokoœæ otworu 
team (tim) | zespó³ pracowników, dru¿yna
teatime (titajni) | czas podwieczorku (krótka przerwa na herbatê lub kawê) 
team-work (tim lek) | praca zespo³owa


technical (‘teknykl) | techniczny 
technical data | dane techniczne 
technical documentation | dokumentacja techniczna 
technical requirements | wymagania techniczne 
technical specifications | warunki techniczne 
technician (tek’nyszn) | technik
technologist (tek’nolodzyst) | pracownik naukowo-techniczny
technology (tek’nolodzy) | technika, technologia, nauki techniczne
teflon tape | taœma teflonowa
telemetry | technika pomiarów zdalnych
temper | odpuszczaæ (stal temperaturowo)
temperature sensor | czujnik temperatury
template (‘templejt) | szablon, /p³yta fundamentowa podwodna/
temporary | prowizoryczny, tymczasowy
tender (‘tende) | sk³adaæ ofert¹, oferta przetargowa
tender=(=drilling tender, work boat) | /statek pomocniczy (podczs wiercenia)/
tense (tens) | napiêty, naprê¿ony, napinaæ, naprê¿aæ
tensile load | obci¹¿enie rozci¹gaj¹ce
tensile strength | wytrzyma³oœæ na rozci¹ganie
tension (‘tenszn) | naprê¿enie, napiêcie
tensioner | napinacz, naprê¿acz (np. lin kotwicznych platformy, risera itp.
tension failure (‘tenszn ‘fejlje) | rozerwanie przy rozci¹ganiu
tentative (‘tentatyw) | próbny, wstêpny, /niepewny (np. cz³owiek)/
terminal | koñcówka, przy³¹cze, zacisk elektryczny, /stacja koñcowa (np, kolej i)/
terminate (‘temineit) | zakoñczyæ, rozwi¹zaæ (np. umowê)
terms of contract | warunki umowy
territorial waters | wody terytorialne
Tertiary | trzeciorzêd
test (test) | próba, badanie, test, analiza, /kryterium/ 
t-joint (ti-d¿ojnt) | ³¹cznik trójnikowy (po³¹czenie teowe) 
t-valve (ti-walw) | zawór trój dro¿ny 
tester | przyrz¹d do badañ, próbnik
        cup tester | narzêdzie do testowania BOP i wiêŸby rurowej 
drill stem tester=(=DST) | próbnik z³o¿a (rurowy) 
plug tester=(=dognut) | narzêdzie do testowania stosu BOP 
test pressure | ciœnienie próbne (ciœnienie wykonywania próby) 
test report | protokó³ odbioru technicznego, protokó³ testu (np. BOP) 
test sample (test sampl) | próbka do badañ 
test stand (test stend) | stanowisko do prób 
tether (tede) | przywi¹zaæ, spêtaæ, /kres wytrzyma³oœci/
tethered | przywi¹zany, uwi¹zany, na uwiêzi (np. kamera | pojazd podwodny)
texas deck | pomost roboczy (platformy) pod prewenterami
thawing | odtajanie, rozmra¿anie
theoretical | teoretyczny
thermal | cieplny, termiczny
thermal conductor | przewodnik ciep³a
thermal shield | os³ona cieplna (œciana p.ogniowa nadbudówki od szybu) 
thermal suit | kombinezon chroni¹cy przed udarem cieplnym


thcrmoreIay=(=thermostat) | termostat
thick (tyk) | gruby, /gêsty, zawiesisty/-	—thin (tyn) | cienki, /rzadki/
thickener | œrodek zagêszczaj ¹cy (np. p³uczkê)
thickness (‘tyknes) | gruboœæ, mi¹¿szoœæ (np. pok³adu), /gêstoœæ/
thimble | ucho, oczko, kausza, sercówka lin
thimblcd eye | oko z kausz¹
thin fog | mgie³ka, lekka mg³a
thinner | œrodek rozrzedzaj¹cy (np. p³uczkê), rozcieñczalnik do farb 
third party | osoba trzecia (fizyczna lub prawna) 
thread (tred) | gwint, /niæ, nitka/
thread dope=(=dope)  | smar do przewodu wiertniczego, rur itp.
threaded flange | ko³nierz z gwintem
thread failure | zerwanie gwintu
thread gauge=(=thread gage) | sprawdzian gwintu
thread pitch | skok gwintu
thread root | bruzda gwintu
thread taper | sto¿ek gwintu
thread wear | zu¿ycie gwintu
three-pole deriek | trójnóg
three-way | trójdro¿ny
throttle | przepuslnica, potocznie peda³ gazu, d³awiæ przep³yw 
throttle lever | manetka, dŸwignia przepustnicy gazu 
throttle pedal | peda³ gazu 
throw | dyslokacja, zrzut uskoku 
throw away | wyrzucaæ, odrzucaæ
thrust (trast) | parcie, napór, /si³a ci¹gu silnika lotniczego/
thrust bearing (trast ‘bering) | ³o¿ysko oporowe
thruster | ster strumieniowy, pêdnik okrêtowy, pêdnik steruj¹cy
thru-tubing perforator | perforator zapuszczany przez przewód wydobywczy
tide (tajd) | p³yw (przyp³yw i odp³yw)
high tide (haj tajd) | przyp³yw
low tide (lou tajd) | odp³yw
tide table | tablica p³ywów
tie (taj) | wi¹zanie, wi¹zad³o, wiêŸ, zwi¹zywaæ, /krawat/
tie back connection | po³¹czenie (prawe) kolumny rur ok³adzinowych nad dnem morskim
tie back (taj bek) | z³¹czyæ siê ponownie, /przed³u¿yæ w górê/
tie back string | przed³u¿enie kolumny traconej rur (przed³u¿ka linera)
tie-down bolts | œruby dociskowe (kontruj¹ce) wieszaka rurek syfonowych
tight (tajt) | szczelny, /ciasny, obcis³y/, /napiêty, naci¹gniêty/, /mocny/
tighten | uszczelniaæ, /zaciskaæ, docinaæ œruby/, /napinaæ, naci¹gaæ/, /dokrêcaæ
tight-hole | zawê¿enie przekroju otworu wiertniczego (ciasny otwór)
tight hole conditions (tajt houl ken’dysznz) | ciasny otwór wiertniczy
tight spot (tajt spot) | miejsce zawê¿enia, g³êbokoœæ zaci¹gania (z powodu zawê¿enia)
tight-pull=(=tighten) | zaci¹ganie w otworze wiertniczym
tilt (tylt) | przechylenie, przechy³, pochylenie, nachylenie, przechylaæ siê
timber (‘tymbe)=(=lumber US) | drewno budowlane, deski, drzewa na budulec
time (tajm) | czas, odmierzaæ czas, czasy, chwila, moment, okres czasu
time delay=(= time lag) | zw³oka, opóŸnienie


time-dependent | zale¿ny od czasu
time of one cycle (tajm ow tan sajki) | czas jednego pe³nego obiegu p³uczki
time of one run (tajm ow Ian ran) | czas jednego pe³nego marszu
time on bottom | czas pobytu œwidra na dnie otworu wiertniczego
time-out | czas przestoju, czas przerwy (w pracy urz¹dzenia)
time saving | oszczêdnoœæ czasu
time-work | praca p³atna za czas (pracy)
tinner=(=tinman, tinsmith) | blacharz
tip | koñcówka, zakoñczenie, /ostrze œrubokrêta/, /przechylaæ, wywracaæ/, /napiwek/
tipper | samochód-wywrotka
tire=(=tyre) | opona samochodowa, obrêcz ko³a
tolerance dose | dawka dopuszczalna (np. siarkowodoru itp.)
tong (tong) | klucz maszynowy do przewodu wiertniczego lub rur
tong area | miejsce chwytania rur (przewodu) kluczami maszynowymi
